method,n_sim,time,epsilon,kl_sigma2,kl_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.02640431022644043,16.515731566904787,23.70319491640887,13.815482926943197,20,0,False,43
ABC-Vanilla,2154.4346900318833,0.056886361918206875,9.085447315533187,23.705366173094554,14.582979141789687,20,0,False,43
ABC-Vanilla,4641.588833612778,0.12255795150629359,8.167427847321633,23.709658534251258,15.350436570438173,20,0,False,43
ABC-Vanilla,10000.0,0.2640431022644043,7.53011728263482,23.711782798236037,16.117819340747165,20,0,False,43
ABC-Vanilla,21544.346900318837,0.5688636191820688,7.025580751656141,23.705402074781393,16.885026318695324,20,0,False,43
ABC-Vanilla,46415.88833612777,1.2255795150629356,6.603709448666898,23.719534697158302,17.65183958636522,20,0,False,43
ABC-Vanilla,100000.0,2.640431022644043,6.232755788735217,23.701876080240922,18.417917641840763,20,0,False,43
ABC-Vanilla,215443.4690031882,5.688636191820684,5.908510846476068,23.74300715922657,19.182168133334592,20,0,False,43
ABC-Vanilla,464158.8833612778,12.255795150629359,5.608744116528908,23.751128076460006,19.942653293847343,20,0,False,43
ABC-Vanilla,1000000.0,26.40431022644043,5.326378617349652,23.515295159375015,20.69563481583047,20,0,False,43
permABC-Vanilla,1000.0,0.05029274916648865,8.571107796439769,23.70319491640887,13.815289281210854,20,0,False,43
permABC-Vanilla,2154.4346900318833,0.10835244346135524,2.601329227161495,23.68122035427931,14.582561944811193,20,0,False,43
permABC-Vanilla,4641.588833612778,0.23343826294286207,2.0957433891684825,23.65515351006193,15.349537748784552,20,0,False,43
permABC-Vanilla,10000.0,0.5029274916648865,1.8179046043719866,23.644337020305368,16.115882883423744,20,0,False,43
permABC-Vanilla,21544.346900318837,1.0835244346135524,1.6297917417287298,23.640078778553324,16.880854357898574,20,0,False,43
permABC-Vanilla,46415.88833612777,2.33438262942862,1.4864405996577998,23.64757951288397,17.642851620139083,20,0,False,43
permABC-Vanilla,100000.0,5.029274916648865,1.3698892351298209,23.64942958138562,18.39855306860655,20,0,False,43
permABC-Vanilla,215443.4690031882,10.835244346135516,1.2706268523317519,23.6183204107245,19.140452120335425,20,0,False,43
permABC-Vanilla,464158.8833612778,23.343826294286206,1.1858460421643813,23.644094607840643,19.852794485335913,20,0,False,43
permABC-Vanilla,1000000.0,50.29274916648865,1.1077171814797635,23.582894779073378,20.502403866583236,20,0,False,43
ABC-SMC,950.0,0.2374088406562805,11.617564367649077,23.624850268764842,20.745473845948773,20,0,False,43
ABC-SMC,1852.0,0.4568792343139649,11.046592537308593,23.628166696610364,20.795773534761793,20,0,False,43
ABC-SMC,2708.0,0.6869305372238159,10.768718623697776,23.622199020520796,20.84647150951119,20,0,False,43
ABC-SMC,3521.0,0.9346319794654846,10.547864879970435,23.61811980525132,20.896303510543184,20,0,False,43
ABC-SMC,4293.0,1.1922616243362427,10.359890082483314,23.615531556060738,20.946245087774322,20,0,False,43
ABC-SMC,5026.0,1.463756275177002,10.16941863097242,23.619402784483377,20.996179614429437,20,0,False,43
