method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.004648880004882813,500000.0,2.3244400024414062,20.174160566038836,9.129390220447021,30936.044071104752,24.98848754917438,8.122056171013597,10.01560123143003,15.645775608786272,17.367289397808715,20,4,False,42
ABC-Vanilla,2154.4346900318833,0.010015708352315123,232079.44168063896,1.0789094759734892,12.151239721805291,-1.4561636059075208e-09,30936.853171232164,24.99148362733049,8.12260925216213,10.015568792813278,15.647359025528937,17.369205419278625,20,4,False,42
ABC-Vanilla,4641.588833612778,0.02157818951946978,107721.7345015942,0.5007854176157562,11.144318376966986,-1.4561636059075208e-09,30894.049150924468,24.99148362733049,8.120191577507661,10.015159488048813,15.642010783808365,17.367398212915024,20,4,False,42
ABC-Vanilla,10000.0,0.046488800048828126,50000.0,0.23244400024414064,10.443958777170074,-1.4561636059075208e-09,30846.05825961005,24.99148362733049,8.109233876695532,10.016554993845693,15.635029920576098,17.35715367682924,20,4,False,42
ABC-Vanilla,21544.346900318837,0.10015708352315125,23207.944168063896,0.10789094759734894,9.884100248448147,-1.4561636059075208e-09,30816.31195181079,24.99148362733049,8.125892504037738,10.016330318765574,15.633208362937514,17.3499278887572,20,4,False,42
ABC-Vanilla,46415.88833612777,0.21578189519469776,10772.173450159424,0.05007854176157564,9.401753322465742,-1.4561636059075208e-09,30860.784637034987,24.99148362733049,8.125654830883999,10.019134436394689,15.641411446537834,17.36501144317062,20,4,False,42
ABC-Vanilla,100000.0,0.46488800048828127,5000.0,0.023244400024414063,8.98112937561531,-1.4561636059075208e-09,30861.9321433387,24.99148362733049,8.199485164484342,10.024151868737391,15.640865926695582,17.38428353439677,20,4,False,42
ABC-Vanilla,215443.4690031882,1.0015708352315116,2320.7944168063914,0.0107890947597349,8.589915373568134,-1.4561636059075208e-09,30729.9836306506,24.99148362733049,8.206850443715638,10.028517834482622,15.611822936726568,17.365665617230217,20,4,False,42
ABC-Vanilla,464158.8833612778,2.1578189519469784,1077.217345015942,0.005007854176157563,8.251104162415245,-1.4561636059075208e-09,31232.292864289986,24.99148362733049,8.506031532805958,10.048581883799253,15.64221418001416,17.398149296518415,20,4,False,42
ABC-Vanilla,1000000.0,4.6488800048828125,500.0,0.002324440002441406,7.928038826109476,-1.4561636059075208e-09,31272.81376345044,24.99148362733049,8.686583005576727,10.048773253824628,15.611395792531715,17.34996449741483,20,4,False,42
permABC-Vanilla,1000.0,0.012559077739715575,500000.0,6.279538869857788,11.595639694809579,9.129390220447021,5618.721668778453,24.98848754917438,9.371524931389619,10.01560123143003,6.171045237986411,7.251662189203714,20,4,False,42
permABC-Vanilla,2154.4346900318833,0.02705771275725045,232079.44168063896,2.914703749856932,4.843141619736166,-1.4561636059075208e-09,3650.649641850498,24.99148362733049,7.817608076552702,10.02042036970189,4.679578008859453,5.799531233648438,20,4,False,42
permABC-Vanilla,4641.588833612778,0.05829407499713862,107721.7345015942,1.3528856378625231,4.064280957102975,-1.4561636059075208e-09,2833.1233530638574,24.99148362733049,6.435558379861419,10.02486539022335,3.915759931575631,5.044976654315468,20,4,False,42
permABC-Vanilla,10000.0,0.12559077739715577,50000.0,0.6279538869857788,3.548316955308696,-1.4561636059075208e-09,2306.4251429345245,24.99148362733049,5.290871460073031,10.025460053219085,3.3518469148650127,4.494159734560894,20,4,False,42
permABC-Vanilla,21544.346900318837,0.27057712757250457,23207.944168063896,0.2914703749856932,3.153572240540473,-1.4561636059075208e-09,1936.614438622799,24.99148362733049,4.335609127737749,10.03029504791711,2.9047910847066207,4.067898814171991,20,4,False,42
permABC-Vanilla,46415.88833612777,0.5829407499713861,10772.173450159424,0.13528856378625234,2.8384032330648745,-1.4561636059075208e-09,1656.2138038662506,24.99148362733049,3.5524529911341447,10.03558417120298,2.536514081034929,3.7279897256348886,20,4,False,42
permABC-Vanilla,100000.0,1.2559077739715576,5000.0,0.06279538869857788,2.5737410909623226,-1.4561636059075208e-09,1436.0309831083441,24.99148362733049,2.9163444996509087,10.039323059903358,2.229146083905211,3.447091347290086,20,4,False,42
permABC-Vanilla,215443.4690031882,2.7057712757250436,2320.7944168063914,0.02914703749856934,2.346812065305551,-1.4561636059075208e-09,1266.9746201274802,24.99148362733049,2.3793153194265626,10.043667275863621,1.9636433939677425,3.215528010167556,20,4,False,42
permABC-Vanilla,464158.8833612778,5.829407499713862,1077.217345015942,0.013528856378625232,2.1568595584648156,-1.4561636059075208e-09,1147.5008000116204,24.99148362733049,1.96265059238629,10.072254733150947,1.7366390867950365,3.0423469698240178,20,4,False,42
permABC-Vanilla,1000000.0,12.559077739715576,500.0,0.0062795388698577885,1.9911772183286722,-1.4561636059075208e-09,1033.5373301501802,24.99148362733049,1.643222189888848,10.072809705992684,1.5528288516438995,2.893915116062244,20,4,False,42
ABC-SMC,950.0,0.0057667016983032225,19000.0,0.11533403396606445,14.552091011973063,-1.4561636059075208e-09,29047.935323945647,24.99148362733049,8.304455910515854,10.004572083578505,15.326476287112769,17.003508800671703,20,4,False,42
ABC-SMC,1852.0,0.008842647075653076,37040.0,0.17685294151306152,14.017102041213555,-1.4561636059075208e-09,28754.32547750581,24.99148362733049,8.323565574825285,10.014625208276634,15.17417719883799,16.822508164846983,20,4,False,42
ABC-SMC,2708.0,0.011812746524810791,54160.0,0.23625493049621582,13.683988194875491,-1.4561636059075208e-09,28146.621210657075,24.99148362733049,8.269787121971083,10.010995884174273,15.036163932912562,16.6610953640378,20,4,False,42
ABC-SMC,3521.0,0.014907193183898926,70420.0,0.2981438636779785,13.428869474358128,-1.4561636059075208e-09,27704.936321628626,24.99148362733049,8.267709047159482,10.016872112340732,14.927377411956494,16.517395282755352,20,4,False,42
ABC-SMC,4293.0,0.017986035346984865,85860.0,0.35972070693969727,13.202811703705052,-1.4561636059075208e-09,27334.330380228406,24.99148362733049,8.296966789744634,10.016607781030682,14.819143666765063,16.401297006870156,20,4,False,42
ABC-SMC,5026.0,0.020975840091705323,100520.0,0.41951680183410645,13.012384551619641,-1.4561636059075208e-09,26963.5513549869,24.99148362733049,8.357049005971302,10.017491907475488,14.718479623790495,16.28735074686327,20,4,False,42
ABC-SMC,5722.0,0.023868894577026366,114440.0,0.47737789154052734,12.875507761657376,-1.4561636059075208e-09,26573.642899758986,24.99148362733049,8.348922339203032,10.015047515010831,14.615474658077062,16.179092513860564,20,4,False,42
ABC-SMC,6383.0,0.026755642890930176,127660.0,0.5351128578186035,12.769811963112518,-1.4561636059075208e-09,26146.733400074467,24.99148362733049,8.294511456235382,10.01101257406791,14.532166432271378,16.075872736639372,20,4,False,42
ABC-SMC,7011.0,0.029643082618713377,140220.0,0.5928616523742676,12.6478498792245,-1.4561636059075208e-09,25983.26142687435,24.99148362733049,8.30946502748752,10.018642544326898,14.446665880204169,15.980018250357151,20,4,False,42
ABC-SMC,7607.0,0.032536327838897705,152140.0,0.6507265567779541,12.531261950161188,-1.4561636059075208e-09,25761.920280347735,24.99148362733049,8.326307938932299,10.019206541784175,14.360543215061213,15.881406519287035,20,4,False,42
ABC-SMC,8173.0,0.03541058301925659,163460.0,0.7082116603851318,12.420010005802961,-1.4561636059075208e-09,25532.693230334764,24.99148362733049,8.348864286391306,10.022593509447388,14.28328231017278,15.794172539613456,20,4,False,42
ABC-SMC,8710.0,0.03826438188552856,174200.0,0.7652876377105713,12.35937899144125,-1.4561636059075208e-09,25165.58748967284,24.99148362733049,8.353400175668947,10.02026454123903,14.200174890592516,15.703661240028294,20,4,False,42
ABC-SMC,9220.0,0.041121268272399904,184400.0,0.822425365447998,12.241548948575934,-1.4561636059075208e-09,24759.058623095516,24.99148362733049,8.370632524144154,10.014063650323802,14.114354892029942,15.621128807939634,20,4,False,42
ABC-SMC,20899.795501022494,0.10527642958003319,204400.0,1.0296034812927246,12.183003253463143,-1.4561636059075208e-09,24463.058400966147,24.99148362733049,8.371624559127714,10.013032190940784,14.05815561623452,15.54548025933169,20,4,False,42
ABC-SMC,22659.22920892495,0.11098675021777048,223420.0,1.0943293571472168,12.087187233562794,-1.4561636059075208e-09,24372.382167422722,24.99148362733049,8.337673612430327,10.017939843749181,13.981033782672876,15.454857952569107,20,4,False,42
ABC-SMC,24342.74193548387,0.1165196059211608,241480.0,1.155874490737915,12.031029115099905,-1.4561636059075208e-09,24174.5381471866,24.99148362733049,8.314148954628132,10.019202310290337,13.905788384513722,15.370456287496012,20,4,False,42
ABC-SMC,25913.82765531062,0.12184610825502323,258620.0,1.2160241603851318,11.970293316151933,-1.4561636059075208e-09,24016.87919915933,24.99148362733049,8.304292756552949,10.018682481421298,13.837794616943174,15.287301470923872,20,4,False,42
ABC-SMC,27326.04373757455,0.12688989904718417,274900.0,1.2765123844146729,11.877249265107539,-1.4561636059075208e-09,23542.256406434375,24.99148362733049,8.29111536671861,10.013454549959956,13.761714272572016,15.207629865008444,20,4,False,42
ABC-SMC,28752.47524752475,0.13246529173142838,290400.0,1.3378994464874268,11.79377209058773,-1.4561636059075208e-09,23249.739380537794,24.99148362733049,8.317108334098037,10.010471419943642,13.700508123282905,15.140671746393839,20,4,False,42
