method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.011425235271453857,500000.0,5.712617635726929,20.174160566038836,-1.4561636059075208e-09,31226.41571687717,24.99148362733049,8.30145361479541,10.014064890876282,15.60600718103006,17.283070209032292,20,4,False,42
ABC-Vanilla,2154.4346900318833,0.02461492321059603,232079.44168063896,2.6515622228689546,12.151239721805291,-1.4561636059075208e-09,30345.384501707587,24.99148362733049,8.333041694109708,10.034501812654742,15.542587674722185,17.229976706176714,20,4,False,42
ABC-Vanilla,4641.588833612778,0.053031244457379084,107721.7345015942,1.230746160529802,11.144318376966986,-1.4561636059075208e-09,31112.83767891403,24.99148362733049,8.20522651498261,10.033668320357682,15.65659477510018,17.38081021191509,20,4,False,42
ABC-Vanilla,10000.0,0.11425235271453857,50000.0,0.5712617635726929,10.443958777170078,-1.4561636059075208e-09,31616.14301455347,24.99148362733049,8.041439774834014,10.03035113639042,15.655280168287154,17.375018104564447,20,4,False,42
ABC-Vanilla,21544.346900318837,0.24614923210596035,23207.944168063896,0.2651562222868955,9.884100248448146,-1.4561636059075208e-09,30626.81395711795,24.99148362733049,8.18494600144109,9.990709000083672,15.656724866791023,17.37782561364498,20,4,False,42
ABC-Vanilla,46415.88833612777,0.5303124445737907,10772.173450159424,0.12307461605298023,9.401753322465748,-1.4561636059075208e-09,30424.83529511304,24.99148362733049,8.175954411898104,10.002686062382034,15.692595690321431,17.407763199413303,20,4,False,42
ABC-Vanilla,100000.0,1.1425235271453857,5000.0,0.05712617635726929,8.98112937561531,-1.4561636059075208e-09,31210.27055096079,24.99148362733049,8.182219683356502,10.030099792611782,15.662513573199638,17.40196393986548,20,4,False,42
ABC-Vanilla,215443.4690031882,2.4614923210596014,2320.7944168063914,0.026515622228689566,8.589915373568132,-1.4561636059075208e-09,30141.894935913464,24.99148362733049,8.35479795344945,10.01474989680176,15.562356562499048,17.29916921846235,20,4,False,42
ABC-Vanilla,464158.8833612778,5.303124445737908,1077.217345015942,0.01230746160529802,8.251104162415245,-1.4561636059075208e-09,31245.48449212489,24.99148362733049,8.451261889454548,10.049393941027901,15.648724641038195,17.3966112076948,20,4,False,42
ABC-Vanilla,1000000.0,11.425235271453857,500.0,0.005712617635726929,7.928038826109478,-1.4561636059075208e-09,31272.81376345044,24.99148362733049,8.686583005576727,10.048773253824628,15.611395792531715,17.34996449741483,20,4,False,42
permABC-Vanilla,1000.0,0.023618569374084474,500000.0,11.809284687042236,11.595639694809579,-1.4561636059075208e-09,5578.010655225176,24.99148362733049,9.37739243806229,10.025297575965771,6.180084912360771,7.257556227286267,20,4,False,42
permABC-Vanilla,2154.4346900318833,0.050884665188452215,232079.44168063896,5.481384393632963,4.843141619736166,-1.4561636059075208e-09,3586.6155954251362,24.99148362733049,7.8619755476488296,9.99407582690474,4.693381113727819,5.806668114272131,20,4,False,42
permABC-Vanilla,4641.588833612778,0.10962768787265924,107721.7345015942,2.5442332594226116,4.064280957102975,-1.4561636059075208e-09,2864.4513128080775,24.99148362733049,6.6136447849332125,10.012262900265373,3.9353580627375147,5.058135788523516,20,4,False,42
permABC-Vanilla,10000.0,0.23618569374084475,50000.0,1.1809284687042236,3.548316955308696,-1.4561636059075208e-09,2317.235735035564,24.99148362733049,5.294724259351001,10.043752944510683,3.3304194124432343,4.481489624801735,20,4,False,42
permABC-Vanilla,21544.346900318837,0.5088466518845223,23207.944168063896,0.5481384393632963,3.153572240540473,-1.4561636059075208e-09,1924.0247784278745,24.99148362733049,4.404627421828289,10.02337891288056,2.9214762183245235,4.098185251427507,20,4,False,42
permABC-Vanilla,46415.88833612777,1.0962768787265922,10772.173450159424,0.25442332594226125,2.8384032330648745,-1.4561636059075208e-09,1644.7655549882174,24.99148362733049,3.527958833806848,10.039189543684685,2.522317674233878,3.7230350036980338,20,4,False,42
permABC-Vanilla,100000.0,2.3618569374084473,5000.0,0.11809284687042236,2.5737410909623226,-1.4561636059075208e-09,1435.4172509126456,24.99148362733049,2.943993288593865,10.041348799501918,2.2305873930608966,3.440740886007287,20,4,False,42
permABC-Vanilla,215443.4690031882,5.088466518845219,2320.7944168063914,0.05481384393632967,2.346812065305551,-1.4561636059075208e-09,1276.884005148268,24.99148362733049,2.3732477652829487,10.056393311382259,1.9555053120960824,3.209310903906159,20,4,False,42
permABC-Vanilla,464158.8833612778,10.962768787265924,1077.217345015942,0.025442332594226118,2.1568595584648156,-1.4561636059075208e-09,1148.3975895176493,24.99148362733049,1.9595406215067748,10.079159729081145,1.734363899825167,3.0408824742039937,20,4,False,42
permABC-Vanilla,1000000.0,23.618569374084473,500.0,0.011809284687042237,1.9911772183286722,-1.4561636059075208e-09,1033.5373301501802,24.99148362733049,1.643222189888848,10.072809705992684,1.5528288516438995,2.8939151160622445,20,4,False,42
ABC-SMC,950.0,0.03930221796035767,19000.0,0.7860443592071533,14.552091011973065,-1.4561636059075208e-09,29096.07596586102,24.99148362733049,8.277075700534095,10.00240832304987,15.32396066511662,17.00085831230276,20,4,False,42
ABC-SMC,1852.0,0.06097877025604248,37040.0,1.2195754051208496,14.020976953612914,-1.4561636059075208e-09,28804.70133796474,24.99148362733049,8.296303890179418,10.012453907124149,15.168895984714776,16.818267060856797,20,4,False,42
ABC-SMC,2708.0,0.08085331916809083,54160.0,1.6170663833618164,13.698983144157237,-1.4561636059075208e-09,28213.43913165578,24.99148362733049,8.251498293561154,10.009047323100665,15.031471203244944,16.655966195685554,20,4,False,42
ABC-SMC,3521.0,0.10163959264755248,70420.0,2.03279185295105,13.435332502498559,-1.4561636059075208e-09,27854.411490485334,24.99148362733049,8.24184713536722,10.016488073194655,14.921847128056735,16.514530732929043,20,4,False,42
ABC-SMC,4293.0,0.1222606897354126,85860.0,2.445213794708252,13.216946517150204,-1.4561636059075208e-09,27486.95488512924,24.99148362733049,8.254701160485338,10.017364121503022,14.814586227100216,16.387704029940835,20,4,False,42
ABC-SMC,5026.0,0.14435361623764037,100520.0,2.8870723247528076,13.031008047485237,-1.4561636059075208e-09,27178.761416195557,24.99148362733049,8.302522251411515,10.018852674720318,14.710663626660022,16.272087193429346,20,4,False,42
ABC-SMC,5722.0,0.16486761569976807,114440.0,3.2973523139953613,12.881866065703997,-1.4561636059075208e-09,26771.131754581962,24.99148362733049,8.295584840798771,10.014808435989824,14.609821777597372,16.157896242620897,20,4,False,42
ABC-SMC,6383.0,0.18553782701492308,127660.0,3.710756540298462,12.772883837623654,-1.4561636059075208e-09,26398.421491652778,24.99148362733049,8.259381081845401,10.012579778314995,14.522835626759198,16.05832897802499,20,4,False,42
ABC-SMC,7011.0,0.20878868103027345,140220.0,4.175773620605469,12.645500804840584,-1.4561636059075208e-09,26296.964425540256,24.99148362733049,8.272191144759578,10.023873584564779,14.44009230233855,15.960919744810555,20,4,False,42
ABC-SMC,7607.0,0.22886759042739868,152140.0,4.577351808547974,12.527124098978607,-1.4561636059075208e-09,26019.298247776896,24.99148362733049,8.315348670102107,10.02066294884921,14.353883000404647,15.864564060272508,20,4,False,42
ABC-SMC,8173.0,0.2475701451301575,163460.0,4.951402902603149,12.414225145215855,-1.4561636059075208e-09,25758.09805968558,24.99148362733049,8.338064571625136,10.022339705711008,14.27541724190193,15.775904878332616,20,4,False,42
ABC-SMC,8710.0,0.26732460260391233,174200.0,5.346492052078247,12.355202486436612,-1.4561636059075208e-09,25401.27167810037,24.99148362733049,8.292309973696124,10.019935685983034,14.18836433033141,15.686796970653601,20,4,False,42
ABC-SMC,9220.0,0.2869542598724365,184400.0,5.7390851974487305,12.241915658511397,-1.4561636059075208e-09,25036.98373932965,24.99148362733049,8.349547290661976,10.016095714734337,14.105201616889307,15.601393834889013,20,4,False,42
ABC-SMC,20899.795501022494,0.609289917234019,204400.0,5.958855390548706,12.183003253463143,-1.4561636059075208e-09,24722.377976609525,24.99148362733049,8.343154305468454,10.013392847977618,14.04304758407936,15.519689922679008,20,4,False,42
ABC-SMC,22751.52749490835,0.6449433305355778,223420.0,6.333343505859375,12.097406865375373,-1.4561636059075208e-09,24515.79762502201,24.99148362733049,8.336863551621336,10.014081602674285,13.971187392942664,15.42350992812216,20,4,False,42
ABC-SMC,24393.939393939396,0.679907582022927,241500.0,6.7310850620269775,12.031525274842132,-1.4561636059075208e-09,24334.045351863024,24.99148362733049,8.323887442551328,10.018031775100084,13.894953156089239,15.34254964924933,20,4,False,42
ABC-SMC,26022.132796780686,0.7167610843896386,258660.0,7.124605178833008,11.97011194744948,-1.4561636059075208e-09,24052.581486932846,24.99148362733049,8.313374729644897,10.013219968226661,13.822318474101792,15.258031384582964,20,4,False,42
ABC-SMC,27663.98390342052,0.7577489319461692,274980.0,7.532024383544922,11.86199968852967,-1.4561636059075208e-09,23817.93771076177,24.99148362733049,8.355873293662757,10.014541498688743,13.751911327191143,15.178419889405223,20,4,False,42
ABC-SMC,29164.65863453815,0.7962001375405185,290480.0,7.9301533699035645,11.761990299288989,-1.4561636059075208e-09,23438.079938521932,24.99148362733049,8.342931043273351,10.007549860661236,13.687427694241768,15.110321293593646,20,4,False,42
ABC-SMC,30646.586345381525,0.8342420480337488,305240.0,8.309050798416138,11.675619913782594,-1.4561636059075208e-09,23493.990069261374,24.99148362733049,8.35635631397292,10.019333735088477,13.63926033627827,15.049613081099867,20,4,False,42
ABC-SMC,31862.2754491018,0.8651478799755226,319260.0,8.668781757354736,11.612698249671439,-1.4561636059075208e-09,23442.060526751895,24.99148362733049,8.3205772990251,10.020006478445874,13.566331199854261,14.991213920755435,20,4,False,42
ABC-SMC,33193.612774451096,0.9050799701028241,332600.0,9.068901300430298,11.533324147106724,-1.4561636059075208e-09,23201.146446746814,24.99148362733049,8.449196503031525,10.020578051212393,13.517215889528632,14.923295281837788,20,4,False,42
ABC-SMC,34320.07952286283,0.9397899417232567,345260.0,9.454286813735962,11.483174939403888,-1.4561636059075208e-09,22691.468644804183,24.99148362733049,8.421327138698844,10.0197173700687,13.462429325523573,14.85754139514559,20,4,False,42
ABC-SMC,35444.444444444445,0.9795099496841431,357280.0,9.873460292816162,11.415220198150923,-1.4561636059075208e-09,22659.483984136707,24.99148362733049,8.457363907877227,10.026295735677296,13.401884200691935,14.796967745628363,20,4,False,42
ABC-SMC,36504.9504950495,1.0139534969140989,368700.0,10.240930318832397,11.359389519394318,-1.4561636059075208e-09,22817.494746924964,24.99148362733049,8.427339048283644,10.04578157126465,13.361306434658383,14.734821724362847,20,4,False,42
ABC-SMC,37429.98027613413,1.0389581469624236,379540.0,10.535035610198975,11.314106684053407,-1.4561636059075208e-09,22713.35732619257,24.99148362733049,8.485128490038528,10.052283972448246,13.30993704389854,14.669924908992986,20,4,False,42
ABC-SMC,38294.69548133595,1.071780065188005,389840.0,10.910721063613892,11.246791751751513,-1.4561636059075208e-09,22608.522291841204,24.99148362733049,8.562676151037321,10.061294157156983,13.25295976010859,14.601055119949162,20,4,False,42
ABC-SMC,80046.875,2.1396701224148273,409840.0,10.955111026763916,11.197263861336582,-1.4561636059075208e-09,22552.458269367355,24.99148362733049,8.497178636002813,10.062542049237797,13.18744530105929,14.531985674617875,20,4,False,42
ABC-SMC,82476.92307692308,2.180618689610408,428880.0,11.339217185974121,11.157710444084058,-1.4561636059075208e-09,22739.13199293661,24.99148362733049,8.452715866210536,10.076295299685059,13.14825148057616,14.4666987416989,20,4,False,42
ABC-SMC,85297.70992366411,2.1706797239434628,446960.0,11.374361753463745,11.119879842431116,-1.4561636059075208e-09,22199.3045412103,24.99148362733049,8.548214480839473,10.062726980017663,13.085873933799965,14.40707452275827,20,4,False,42
ABC-SMC,88239.54372623574,2.2313267105885783,464140.0,11.736778497695923,11.069865053570267,-1.4561636059075208e-09,22275.160441607077,24.99148362733049,8.604591164713163,10.068807707844442,13.033212974713393,14.344358859789507,20,4,False,42
ABC-SMC,91342.20532319392,2.236640408011897,480460.0,11.764728546142578,11.023504579778127,-1.4561636059075208e-09,22198.9537401384,24.99148362733049,8.62815867047506,10.0732761363831,12.983443464212641,14.27036393649179,20,4,False,42
ABC-SMC,93236.84210526316,2.2833068119852165,496020.0,12.147192239761353,10.979439798765702,-1.4561636059075208e-09,22288.91635151892,24.99148362733049,8.603623079459622,10.090619804100747,12.92688540768549,14.215287317923663,20,4,False,42
ABC-SMC,95298.50746268657,2.334702326290643,510800.0,12.514004468917847,10.918039729043228,-1.4561636059075208e-09,21931.656180446953,24.99148362733049,8.591365153558181,10.078187920858571,12.886890769641344,14.149209128818448,20,4,False,42
ABC-SMC,97917.91044776118,2.394368710802562,524840.0,12.833816289901733,10.875123928716773,-1.4561636059075208e-09,21722.320228149823,24.99148362733049,8.514499664350533,10.07891341079943,12.827809711746648,14.09727966831286,20,4,False,42
ABC-SMC,99662.96296296296,2.3811732839654995,538180.0,12.858335733413696,10.844574542463516,-1.4561636059075208e-09,21830.285171919626,24.99148362733049,8.540729095715088,10.090545285982506,12.778165194700666,14.059406285379561,20,4,False,42
ABC-SMC,102007.40740740742,2.3852476808759904,550840.0,12.880337476730347,10.805709824182607,-1.4561636059075208e-09,21694.671136899917,24.99148362733049,8.446956980236077,10.091799039185124,12.733318454487398,14.000133586829783,20,4,False,42
ABC-SMC,103477.94117647059,2.4302509777686176,562920.0,13.22056531906128,10.757301611541008,-1.4561636059075208e-09,21448.30798031838,24.99148362733049,8.464543855059821,10.08481198435612,12.690231301065655,13.952959409465507,20,4,False,42
ABC-SMC,104821.16788321167,2.468957474631985,574420.0,13.529886960983276,10.687841286166197,-1.4561636059075208e-09,21194.756832337844,24.99148362733049,8.641958452890218,10.085238883957201,12.641471609412438,13.905992595437931,20,4,False,42
