method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.015244446992874146,18.89742660752634,20,4,True,0
ABC-Vanilla,2154.4346900318833,0.032843165431800284,11.91262773056578,20,4,True,0
ABC-Vanilla,4641.588833612778,0.07075845493672653,10.91082599021382,20,4,True,0
ABC-Vanilla,10000.0,0.15244446992874144,10.210865065462121,20,4,True,0
ABC-Vanilla,21544.346900318837,0.3284316543180029,9.64661888342757,20,4,True,0
ABC-Vanilla,46415.88833612777,0.7075845493672651,9.169729949326218,20,4,True,0
ABC-Vanilla,100000.0,1.5244446992874146,8.752387647246104,20,4,True,0
ABC-Vanilla,215443.4690031882,3.2843165431800263,8.374130355069678,20,4,True,0
ABC-Vanilla,464158.8833612778,7.075845493672652,8.02623213576684,20,4,True,0
ABC-Vanilla,1000000.0,15.244446992874146,7.69744369049496,20,4,True,0
permABC-Vanilla,1000.0,0.02523008298873901,9.27877320893559,20,4,True,0
permABC-Vanilla,2154.4346900318833,0.05435656602332263,4.174433861471841,20,4,True,0
permABC-Vanilla,4641.588833612778,0.11710767147165471,3.6141851881452975,20,4,True,0
permABC-Vanilla,10000.0,0.2523008298873901,3.235376611169922,20,4,True,0
permABC-Vanilla,21544.346900318837,0.5435656602332264,2.9421522613922764,20,4,True,0
permABC-Vanilla,46415.88833612777,1.1710767147165468,2.69752320089094,20,4,True,0
permABC-Vanilla,100000.0,2.523008298873901,2.493027229118572,20,4,True,0
permABC-Vanilla,215443.4690031882,5.4356566023322594,2.3147466468591262,20,4,True,0
permABC-Vanilla,464158.8833612778,11.710767147165472,2.1599419815865346,20,4,True,0
permABC-Vanilla,1000000.0,25.230082988739014,2.008823601974258,20,4,True,0
ABC-SMC,950.0,0.11960544586181641,14.467793132279146,20,4,True,0
ABC-SMC,1852.0,0.23235654830932617,13.944923327532495,20,4,True,0
ABC-SMC,2708.0,0.34395734071731565,13.604995581037596,20,4,True,0
ABC-SMC,3521.0,0.45660823583602905,13.342673816197484,20,4,True,0
ABC-SMC,4293.0,0.5674604773521423,13.150282089947313,20,4,True,0
ABC-SMC,5026.0,0.6746981382369995,13.024087891016924,20,4,True,0
ABC-SMC,5722.0,0.783543837070465,12.86091586512213,20,4,True,0
ABC-SMC,6383.0,0.8911877393722534,12.728094510880323,20,4,True,0
ABC-SMC,7011.0,0.9987728953361511,12.543955230290793,20,4,True,0
ABC-SMC,7607.0,1.105841290950775,12.389789597553433,20,4,True,0
ABC-SMC,8173.0,1.2232542037963867,12.294555469199098,20,4,True,0
ABC-SMC,8710.0,1.3374504566192627,12.171869231309568,20,4,True,0
ABC-SMC,9220.0,1.4511664986610413,12.076522911384119,20,4,True,0
ABC-SMC,21028.806584362144,3.233817256527183,12.00554546151898,20,4,True,0
ABC-SMC,22936.34496919918,3.2393759525776886,11.906594251951008,20,4,True,0
ABC-SMC,24687.116564417178,3.2323996957338172,11.824596795506851,20,4,True,0
ABC-SMC,26276.422764227642,3.2187387226073723,11.732383936714477,20,4,True,0
ABC-SMC,27759.595959595958,3.211790913283223,11.666032682060386,20,4,True,0
ABC-SMC,29144.57831325301,3.4229488976030464,11.59778852224049,20,4,True,0
