province,region,country,date,day.maxtemp_c,day.maxwind_kph,day.totalprecip_mm,day.avghumidity,day.uv,day.daily_will_it_rain
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,38.6,18.9,0.0,50,9.0,0
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-04-21,30.2,22.7,1.5,68,7.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,31.9,23.0,3.8,77,7.0,1
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,28.0,9.1,16.1,89,6.0,1
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,36.1,18.7,0.0,58,9.0,0
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,31.9,23.0,3.8,77,7.0,1
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,37.4,15.1,0.0,59,9.0,0
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,35.1,27.0,0.3,76,8.0,1
Bình Dương,Đông Nam Bộ,Vietnam,2024-04-21,38.2,23.8,0.1,53,8.0,1
Bình Phước,Đông Nam Bộ,Vietnam,2024-04-21,36.2,17.6,0.0,61,9.0,0
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,32.9,20.5,0.0,69,8.0,0
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,37.4,11.9,0.2,59,8.0,1
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,37.8,17.3,0.1,56,8.0,1
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,29.4,9.4,34.57,84,6.0,1
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,36.2,16.7,0.4,75,8.0,1
Đắk Lắk,Tây Nguyên,Vietnam,2024-04-21,37.1,10.4,0.9,60,8.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-04-21,37.1,10.4,0.9,60,8.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,37.1,13.3,0.0,34,9.0,0
Đồng Nai,Đông Nam Bộ,Vietnam,2024-04-21,38.2,23.8,0.1,53,8.0,1
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,37.7,16.1,0.2,55,8.0,1
Gia Lai,Tây Nguyên,Vietnam,2024-04-21,35.6,14.4,0.2,53,8.0,1
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,27.1,20.9,19.0,54,6.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,32.1,23.0,0.0,82,7.0,0
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,32.2,22.3,1.0,75,7.0,1
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,37.0,13.4,0.0,56,9.0,0
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,30.2,26.3,6.0,81,7.0,1
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,30.3,25.6,6.3,80,7.0,1
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,37.8,17.3,0.1,56,8.0,1
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-04-21,38.2,23.8,0.1,53,8.0,1
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,34.1,16.7,0.2,76,7.0,1
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,32.1,23.0,0.0,82,7.0,0
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,33.7,21.2,0.0,77,7.0,0
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,33.6,20.4,0.0,64,8.0,0
Kon Tum,Tây Nguyên,Vietnam,2024-04-21,35.6,14.4,0.2,53,8.0,1
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,26.4,6.1,1.0,52,6.0,1
Lâm Đồng,Tây Nguyên,Vietnam,2024-04-21,29.8,7.2,1.8,81,6.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,27.9,12.0,25.1,80,6.0,1
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,33.2,14.0,0.0,51,7.0,0
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,37.5,22.0,0.0,57,9.0,0
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,32.1,23.0,0.0,82,7.0,0
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,36.2,17.2,0.0,68,9.0,0
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,32.1,23.0,0.0,82,7.0,0
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,33.5,25.6,0.0,75,8.0,0
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,32.3,19.1,10.9,77,7.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,35.1,27.0,0.3,76,8.0,1
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,38.0,19.8,0.0,52,9.0,0
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,36.2,16.7,0.4,75,8.0,1
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,38.1,24.1,0.0,69,9.0,0
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,27.0,16.2,9.7,86,6.0,1
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,36.8,11.9,1.8,58,8.0,1
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,36.1,18.7,0.0,58,9.0,0
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,37.1,13.3,0.0,34,9.0,0
Tây Ninh,Đông Nam Bộ,Vietnam,2024-04-21,39.2,21.2,0.0,49,9.0,0
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,31.3,25.2,1.0,85,7.0,1
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,31.0,14.8,6.9,80,7.0,1
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,35.2,19.1,1.1,81,8.0,1
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-21,36.8,11.9,1.8,58,8.0,1
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,37.4,15.1,0.0,59,9.0,0
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,36.8,20.5,0.0,60,9.0,0
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,32.3,19.1,10.9,77,7.0,1
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-21,37.8,14.4,0.4,56,8.0,1
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-04-21,32.3,19.1,10.9,77,7.0,1
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-21,32.3,19.1,10.9,77,7.0,1
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,37.8,18.2,0.0,52,9.0,0
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-04-22,31.1,21.6,0.1,70,7.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,31.6,15.8,10.6,72,7.0,1
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,27.3,7.6,4.6,92,6.0,1
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,36.0,20.5,0.0,59,9.0,0
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,31.6,15.8,10.6,72,7.0,1
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,37.3,18.4,0.2,61,8.0,1
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,35.0,27.4,0.0,70,9.0,0
Bình Dương,Đông Nam Bộ,Vietnam,2024-04-22,37.7,22.3,0.0,57,9.0,0
Bình Phước,Đông Nam Bộ,Vietnam,2024-04-22,35.8,18.0,0.8,62,8.0,1
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,32.7,21.2,0.4,69,7.0,1
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,37.2,12.2,0.0,58,9.0,0
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,37.8,17.3,0.0,56,9.0,0
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,24.7,6.1,0.8,91,5.0,1
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,35.3,19.1,0.0,70,9.0,0
Đắk Lắk,Tây Nguyên,Vietnam,2024-04-22,38.0,10.8,0.0,49,9.0,0
Đắk Nông,Tây Nguyên,Vietnam,2024-04-22,38.0,10.8,0.0,49,9.0,0
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,37.4,13.3,0.0,25,9.0,0
Đồng Nai,Đông Nam Bộ,Vietnam,2024-04-22,37.7,22.3,0.0,57,9.0,0
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,38.1,15.2,0.0,55,9.0,0
Gia Lai,Tây Nguyên,Vietnam,2024-04-22,35.3,14.0,0.1,47,8.0,1
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,28.6,29.5,0.2,65,6.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,30.4,20.2,0.6,81,7.0,1
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,32.1,18.0,1.2,73,7.0,1
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,33.5,18.4,0.0,72,8.0,0
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,30.2,20.2,0.0,75,7.0,0
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,30.2,18.7,0.0,74,7.0,0
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,37.8,17.3,0.0,56,9.0,0
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-04-22,37.7,22.3,0.0,57,9.0,0
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,33.0,11.2,1.9,79,7.0,1
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,30.4,20.2,0.6,81,7.0,1
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,33.2,21.2,0.0,71,8.0,0
