method,seed,runtime_sec,eps_final,n_sim_total,mae_global,mae_local_mean,true_local_mean,est_local_mean,true_global,est_global
perm,0,1.445486,10.443046,76856.00,0.587661,0.586299,0.703989,0.117689,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3289536795885954, 2.2512596302887253, 0.5554167771806675]"
perm,1,0.814547,10.509000,76856.00,0.613526,0.586750,0.703989,0.117239,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3324187941021957, 2.165990046096052, 0.5665579845021103]"
perm,2,0.691563,10.387293,76856.00,0.645839,0.577446,0.703989,0.126542,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.376588370785774, 2.122539999928589, 0.5572366065133478]"
perm,3,0.699800,10.377188,76856.00,0.667526,0.532007,0.703989,0.171982,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3943564581494483, 2.0898899783631273, 0.5425941134242002]"
perm,4,0.731874,10.507603,76856.00,0.622987,0.572321,0.703989,0.131668,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3392780632532537, 2.1482065688668484, 0.5628150664998818]"
perm,5,0.703937,10.250155,76856.00,0.621101,0.610664,0.703989,0.093325,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3279231823000217, 2.1117506546760048, 0.5935767624885134]"
smc,0,0.885588,11.681437,72088.00,0.650168,0.575665,0.703989,0.128324,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3153064536989134, 2.092090693117473, 0.5136781926412709]"
smc,1,0.174331,11.701444,72088.00,0.616121,0.543503,0.703989,0.160485,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.303314431135968, 2.203458035159022, 0.5164457410752141]"
smc,2,0.174214,11.733377,72088.00,0.628838,0.575329,0.703989,0.128660,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3136336856959483, 2.1546309117202136, 0.516801040535903]"
smc,3,0.168224,11.711720,72088.00,0.627673,0.566370,0.703989,0.137619,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3361785665312886, 2.1917213494054923, 0.5021431946441055]"
smc,4,0.175391,11.713500,72088.00,0.621507,0.601866,0.703989,0.102122,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3380143716422488, 2.193398333896349, 0.5207994298488717]"
smc,5,0.170815,11.648303,72088.00,0.606658,0.600168,0.703989,0.103821,"[1.3154374871981342, 3.740289695151073, 0.8158535541215322]","[1.3174364010618245, 2.221318682092511, 0.5168486933663656]"
