method,scale,n_iterations,total_n_sim,time_final,final_epsilon
permABC-SMC,national,133,20494,0.8993446826934814,0.12269841134548187
ABC-SMC,national,202,28852,0.8434426784515381,0.13138093054294586
ABC-SMC (Gibbs 3b),national,179,29945,2.136425018310547,0.12269841134548187
permABC-SMC (Gibbs 3b),national,121,18419,1.3483343124389648,0.12269841134548187
permABC-SMC,regional,22,23442,0.2609395980834961,16.83029556274414
ABC-SMC,regional,32,32826,0.35629963874816895,0.46193045377731323
ABC-SMC (Gibbs 3b),regional,214,194622,3.688166618347168,0.18123440444469452
permABC-SMC (Gibbs 3b),regional,203,184590,6.8189005851745605,1.6382901668548584
permABC-SMC-UM,regional,14,16650,0.46224260330200195,16.83029556274414
permABC-SMC,provincial,13,160580,3.389418840408325,55.53962326049805
ABC-SMC,provincial,13,160580,1.1335546970367432,0.5946371555328369
ABC-SMC (Gibbs 3b),provincial,13,160580,1.2649402618408203,0.5957984328269958
permABC-SMC (Gibbs 3b),provincial,13,160580,3.5021214485168457,55.56796646118164
permABC-SMC-UM,provincial,42,519932,98.80839109420776,55.53962326049805
